date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
11/1/2023,N,0.777135074,0.790665984,0.064960033,0.75835824,0.818591118,0.267142832,0.870481312,67.71350861,69.06659698,65.83582306,71.85910797,2023-11-01_6873384,59210,59210,1
11/4/2023,N,0.729540288,0.741197526,0.062580772,0.708512783,0.770087838,0.249217927,0.823908687,62.9540329,64.11975098,60.85128021,67.00878906,2023-11-04_6879944,59210,59210,1
11/7/2023,N,0.740804136,0.752089381,0.066670492,0.713865161,0.786791205,0.261710346,0.845125794,64.08040619,65.2089386,61.38652039,68.67912292,2023-11-07_6886554,59210,59210,1
11/8/2023,N,0.717049181,0.72820282,0.067157179,0.689620852,0.764454782,0.268889815,0.828709781,61.70491409,62.82028198,58.96208572,66.44548035,2023-11-08_6888149,59210,59210,1
11/9/2023,N,0.709820569,0.720471144,0.067385487,0.68167299,0.756957412,0.237861693,0.820804894,60.98205948,62.04711914,58.16730118,65.69573975,2023-11-09_6890432,59210,59210,1
11/10/2023,N,0.71427232,0.725147426,0.070870481,0.682924151,0.763917208,0.244989395,0.82962203,61.42723083,62.51473999,58.29241562,66.39172363,2023-11-10_6892217,59210,59210,1
11/12/2023,N,0.68851465,0.69925797,0.070994847,0.654882193,0.739037871,0.236965775,0.811653733,58.8514595,59.92579651,55.48821259,63.90378571,2023-11-12_6895820,59210,59210,1
11/13/2023,N,0.728390872,0.738377094,0.076582879,0.68689096,0.785404682,0.273879558,0.86305666,62.83908844,63.83771515,58.68910217,68.54046631,2023-11-13_6897849,59210,59210,1
11/14/2023,N,0.658040524,0.666875482,0.069734976,0.619291902,0.709947824,0.245528474,0.785072267,55.80405045,56.68755341,51.92919159,60.99477768,2023-11-14_6900090,59210,59210,1
11/17/2023,N,0.597711563,0.604660571,0.067369454,0.552327871,0.650861442,0.267598987,0.729986668,49.77114868,50.46605682,45.23278809,55.08614349,2023-11-17_6906060,59210,59210,1
11/21/2023,N,0.579012811,0.585223138,0.068396352,0.532579243,0.632495224,0.227870286,0.715397477,47.90128326,48.52231598,43.25792694,53.24952316,2023-11-21_6914521,59210,59210,1
11/22/2023,N,0.593134224,0.599665046,0.07126417,0.542833745,0.650236189,0.261491776,0.733793974,49.31341934,49.96650314,44.28337479,55.02361679,2023-11-22_6916881,59210,59210,1
3/19/2024,N,0.290683508,0.291614532,0.034040462,0.267998457,0.314588606,0.138295382,0.408173054,19.06835175,19.16145325,16.79984665,21.4588604,2024-03-19_7184879,59210,59210,1
3/20/2024,N,0.295960099,0.297869861,0.035529371,0.273108333,0.321625978,0.134566024,0.414843023,19.59601021,19.7869873,17.31083298,22.16259766,2024-03-20_7187077,59210,59210,1
3/21/2024,N,0.311789364,0.314895093,0.040663965,0.285522759,0.341406554,0.123112142,0.457232445,21.17893982,21.48951149,18.55227661,24.14065742,2024-03-21_7189291,59210,59210,1
3/22/2024,N,0.318643689,0.321809053,0.042352758,0.291397035,0.350887507,0.14397563,0.453180254,21.86436844,22.1809063,19.13970375,25.08875275,2024-03-22_7191571,59210,59210,1
3/25/2024,N,0.371404409,0.378025293,0.051223449,0.340240568,0.410240442,0.132841334,0.497500002,27.1404438,27.80252838,24.02405548,31.02404404,2024-03-25_7198634,59210,59210,1
4/2/2024,N,0.467676997,0.480926275,0.069923215,0.429437131,0.520623803,0.155008629,0.615198791,36.7677002,38.09262848,32.94371033,42.06237793,2024-04-02_7216961,59210,59210,1
4/3/2024,N,0.486448139,0.501822472,0.072400764,0.446970552,0.540805101,0.164326176,0.633312404,38.64481354,40.18224716,34.69705582,44.08050919,2024-04-03_7219435,59210,59210,1
4/5/2024,N,0.523001611,0.538685262,0.077224679,0.484018713,0.581278682,0.182736859,0.671431601,42.30015945,43.86852646,38.40187073,48.12786865,2024-04-05_7223987,59210,59210,1
4/8/2024,N,0.51014173,0.524101257,0.076472431,0.471079379,0.568406641,0.18122673,0.649805427,41.01416397,42.41012192,37.10793686,46.84066772,2024-04-08_7230078,59210,59210,1
4/9/2024,N,0.560728431,0.577270687,0.085924566,0.515987754,0.626758993,0.179782495,0.717487812,46.07283783,47.72706985,41.59877777,52.67589951,2024-04-09_7231714,59210,59210,1
4/11/2024,N,0.6055758,0.626033545,0.092914432,0.557153702,0.67606771,0.195867211,0.786104918,50.55757904,52.60335541,45.71537018,57.60677338,2024-04-11_7236736,59210,59210,1
4/12/2024,N,0.565277576,0.582645655,0.083551779,0.523406148,0.628694892,0.184632733,0.718327463,46.52775574,48.26456451,42.3406105,52.86948776,2024-04-12_7238460,59210,59210,1
4/16/2024,N,0.649914026,0.669093847,0.090480357,0.605094254,0.716846824,0.195558295,0.817605317,54.99139786,56.90938568,50.5094223,61.68468475,2024-04-16_7246495,59210,59210,1
4/21/2024,N,0.670108318,0.680601418,0.078484088,0.629337788,0.724827647,0.211923599,0.840462387,57.01083374,58.06014252,52.93378067,62.4827652,2024-04-21_7257165,59210,59210,1
4/23/2024,N,0.714373469,0.72224009,0.078898661,0.67246145,0.767795086,0.236157119,0.880318582,61.43735504,62.22401428,57.24614716,66.7795105,2024-04-23_7261451,59210,59210,1
4/30/2024,N,0.685629189,0.694626868,0.07678394,0.639907479,0.739483714,0.220314041,0.84330374,58.56291962,59.46268845,53.99074554,63.94836426,2024-04-30_7275813,59210,59210,1
5/2/2024,N,0.693658173,0.701864719,0.079968654,0.643116951,0.752260923,0.235738471,0.852858126,59.36582184,60.18647003,54.31169891,65.22608948,2024-05-02_7280274,59210,59210,1
5/8/2024,N,0.704045296,0.724271417,0.096714213,0.639057338,0.780396163,0.214487121,0.874792218,60.40452576,62.42713928,53.9057312,68.03961945,2024-05-08_7293039,59210,59210,1
5/10/2024,N,0.742805243,0.763200998,0.086548269,0.694112778,0.807062745,0.253816426,0.884013116,64.28053284,66.32009888,59.41127777,70.70627594,2024-05-10_7297105,59210,59210,1
